combo,dataset,total_pairs,embedding_covered_pairs,embedding_pair_coverage,both_words_retrofitted_pairs,both_words_retrofitted_pair_coverage,at_least_one_word_retrofitted_pairs,unique_words,embedding_covered_unique_words,actually_retrofitted_unique_words,actually_retrofitted_unique_word_coverage
GloVe+WN_syn,SimLex-999,999,999,1.0,986,0.987,999,1028,1028,1018,0.9903
GloVe+WN_syn,WS-353,353,353,1.0,339,0.9603,353,437,437,425,0.9725
GloVe+WN_syn,RG-65,65,65,1.0,65,1.0,65,48,48,48,1.0
GloVe+WN_all,SimLex-999,999,999,1.0,990,0.991,999,1028,1028,1022,0.9942
GloVe+WN_all,WS-353,353,353,1.0,347,0.983,353,437,437,432,0.9886
GloVe+WN_all,RG-65,65,65,1.0,65,1.0,65,48,48,48,1.0
GloVe+PPDB,SimLex-999,999,999,1.0,993,0.994,999,1028,1028,1024,0.9961
GloVe+PPDB,WS-353,353,353,1.0,345,0.9773,353,437,437,431,0.9863
GloVe+PPDB,RG-65,65,65,1.0,61,0.9385,65,48,48,46,0.9583
Word2Vec+WN_syn,SimLex-999,999,999,1.0,988,0.989,999,1028,1028,1020,0.9922
Word2Vec+WN_syn,WS-353,353,350,0.9915,334,0.9462,352,437,436,423,0.968
Word2Vec+WN_syn,RG-65,65,65,1.0,65,1.0,65,48,48,48,1.0
Word2Vec+WN_all,SimLex-999,999,999,1.0,990,0.991,999,1028,1028,1022,0.9942
Word2Vec+WN_all,WS-353,353,350,0.9915,340,0.9632,352,437,436,428,0.9794
Word2Vec+WN_all,RG-65,65,65,1.0,65,1.0,65,48,48,48,1.0
fastText+WOLF_syn,SimLex-999_FR,999,908,0.9089,749,0.7497,973,996,938,824,0.8273
fastText+WOLF_syn,WS-353_FR,353,343,0.9717,262,0.7422,339,424,416,357,0.842
fastText+WOLF_syn,RG-65_FR,65,65,1.0,52,0.8,65,48,48,41,0.8542
fastText+WOLF_all,SimLex-999_FR,999,908,0.9089,823,0.8238,983,996,938,880,0.8835
fastText+WOLF_all,WS-353_FR,353,343,0.9717,303,0.8584,349,424,416,386,0.9104
fastText+WOLF_all,RG-65_FR,65,65,1.0,57,0.8769,65,48,48,43,0.8958
